date,open,high,low,close,volume
2026-06-24,27.41,33.11,21.81,23.79,14248753.0
2026-06-25,30.05,30.36,26.1,28.71,26874640.0
2026-06-26,25.0,26.85,24.295,24.82,15282742.0
2026-06-29,24.0,24.76,21.0,24.74,14058984.0
2026-06-30,24.805,26.22,24.58,26.0,11134950.0
2026-07-01,21.52,22.24,20.17,20.24,25634954.0
2026-07-02,19.34,20.05,15.8,16.96,27508504.0
2026-07-06,19.47,19.84,18.9,19.11,13483506.0
2026-07-07,16.4,17.09,15.29,16.73,21102080.0
2026-07-08,15.51,17.4855,15.5,17.45,19499968.0
2026-07-09,19.15,19.77,18.68,18.79,17085141.0
2026-07-10,17.36,18.36,16.96,18.0,12714070.0
2026-07-13,14.8,15.39,14.14,14.67,20303829.0
2026-07-14,16.46,16.92,15.56,16.72,15512052.0
2026-07-15,16.31,16.39,13.295,14.59,16554538.0
2026-07-16,13.02,13.2401,11.8,12.05,18486389.0
2026-07-17,10.87,13.4,10.3,12.16,26064862.0
2026-07-20,12.85,13.3,12.25,12.34,9873129.0
2026-07-21,14.16,15.24,13.89,15.02,15971589.0
2026-07-22,13.72,14.9,13.6,14.42,9903278.0
2026-07-23,14.27,15.165,14.09,14.71,10769113.0
2026-07-24,13.395,13.6299,11.88,12.17,10019838.0
2026-07-27,12.92,12.92,10.75,11.71,10242873.0
2026-07-28,9.87,10.139,8.9099,9.61,16655036.0
2026-07-29,9.66,10.015,8.29,8.4,24900047.0
2026-07-30,9.655,11.2079,9.625,11.13,21388723.0
2026-07-31,12.32,12.61,10.37,10.44,23446722.0
2026-08-03,9.84,10.905,9.31,10.71,13972180.0
2026-08-04,11.74,12.52,11.655,12.3,13923804.0
2026-08-05,11.65,12.53,11.58,11.73,10128037.0
2026-08-06,9.935,11.4498,9.6,10.72,12627603.0
2026-08-07,10.96,11.0,9.63,10.38,13973720.0
2026-08-10,9.97,10.525,9.8098,9.98,6831691.0
2026-08-11,10.53,10.7251,10.28,10.53,7636541.0
2026-08-12,12.025,12.26,11.7,12.08,18047400.0
2026-08-13,11.975,13.58,11.8242,13.015,21626806.0
2026-08-14,13.55,13.865,12.835,13.2,17516199.0
2026-08-17,14.33,15.358,14.27,14.59,18896538.0
2026-08-18,12.85,13.23,11.88,12.07,19589791.0
2026-08-19,12.845,12.9,11.7,12.07,24581979.0
2026-08-20,12.56,13.16,12.36,13.08,18165029.0
2026-08-21,13.54,13.64,13.0,13.15,11789676.0
2026-08-24,12.16,12.19,11.05,11.57,15424261.0
2026-08-25,12.31,12.5913,11.96,12.4,8675620.0
2026-08-26,12.2,12.6,12.17,12.43,10337366.0
2026-08-27,13.13,13.1823,12.075,12.63,16352948.0
2026-08-28,12.21,12.7299,12.025,12.2,8484060.0
2026-08-31,12.295,12.685,12.17,12.63,6349391.0
2026-09-01,12.01,12.57,11.61,11.86,8265959.0
2026-09-02,12.0,12.39,11.84,12.305,5749269.0
2026-09-03,12.06,12.3,11.46,12.24,8672297.0
2026-09-04,12.57,13.835,12.52,13.82,12446793.0
