date,open,high,low,close,volume
2025-01-28,21.35,21.65,19.01,20.95,16903659.0
2025-01-29,21.25,23.2848,21.14,22.0,14534761.0
2025-01-30,22.21,24.35,22.09,23.58,13956030.0
2025-01-31,23.97,26.75,23.66,23.84,19651078.0
2025-02-03,21.45,24.2991,21.11,23.85,13391056.0
2025-02-04,23.72,24.0499,22.3,22.98,10229706.0
2025-02-05,23.01,26.09,22.69,24.55,15125152.0
2025-02-06,25.08,26.1,22.98,23.25,10217533.0
2025-02-07,23.46,27.3,23.442,25.84,20254433.0
2025-02-10,25.64,28.22,25.0434,27.46,13740437.0
2025-02-11,27.44,28.0,25.37,25.86,8989360.0
2025-02-12,24.95,27.0999,24.4301,26.4,9229251.0
2025-02-13,26.4,26.45,23.635,24.71,13010579.0
2025-02-14,25.02,25.24,22.92,23.08,9566173.0
2025-02-18,23.305,23.51,21.7111,22.04,10860719.0
2025-02-19,21.98,22.2496,20.91,21.13,9323648.0
2025-02-20,21.66,21.71,19.53,20.78,10248761.0
2025-02-21,21.165,21.4373,18.93,19.04,10767129.0
2025-02-24,18.69,19.225,17.35,18.46,11216501.0
2025-02-25,17.73,18.09,16.4,17.61,10645860.0
2025-02-26,18.695,19.09,17.675,17.95,11667566.0
2025-02-27,18.35,18.6942,16.62,16.71,9460734.0
2025-02-28,16.0,17.27,15.84,17.19,8395754.0
2025-03-03,17.925,18.2,15.16,15.45,12207377.0
2025-03-04,14.7,18.2,14.445,17.23,16062565.0
2025-03-05,17.37,17.51,16.17,17.32,11104873.0
2025-03-06,16.99,16.99,15.58,15.95,8490230.0
2025-03-07,15.71,16.12,14.4,15.63,11056370.0
2025-03-10,15.165,15.75,14.535,14.67,10783231.0
2025-03-11,14.43,16.6998,14.43,16.21,12628411.0
2025-03-12,16.97,17.55,15.891,15.98,9649062.0
2025-03-13,16.34,16.34,15.09,15.21,5729838.0
2025-03-14,15.86,17.595,15.63,17.51,7618558.0
2025-03-17,17.585,18.16,17.34,17.6,6534749.0
2025-03-18,17.25,17.311,16.39,16.58,4202452.0
2025-03-19,16.77,18.8803,16.77,18.53,8083804.0
2025-03-20,17.84,19.09,17.79,18.2,5779785.0
2025-03-21,17.77,18.2,17.36,18.13,7804765.0
2025-03-24,18.98,19.68,18.54,18.88,6813230.0
2025-03-25,18.5,18.77,18.06,18.71,4278196.0
2025-03-26,18.6,18.8099,16.84,17.12,4746005.0
2025-03-27,16.72,17.0479,15.97,16.1,5513994.0
2025-03-28,15.82,16.09,14.75,14.97,5971334.0
2025-03-31,14.37,14.72,13.78,14.16,5593789.0
2025-04-01,14.75,14.95,13.89,14.64,5751160.0
2025-04-02,14.3,15.5,14.15,15.11,4716517.0
2025-04-03,13.81,14.48,13.78,14.14,6285072.0
2025-04-04,13.4,13.58,11.08,12.6,10987571.0
2025-04-07,11.74,14.9396,11.58,14.1,12531135.0
2025-04-08,15.3,15.34,13.56,13.91,8034165.0
2025-04-09,13.995,16.5396,13.4743,16.06,10023806.0
2025-04-10,15.25,15.77,14.4,14.85,6637145.0
2025-04-11,15.01,15.48,14.72,15.15,6439046.0
2025-04-14,15.77,15.83,14.81,15.25,4315480.0
2025-04-15,15.29,16.2938,15.06,15.38,4581004.0
2025-04-16,14.79,15.1397,14.25,14.5,4876703.0
2025-04-17,14.8,15.0652,14.16,14.61,4126712.0
2025-04-21,14.26,14.47,13.33,13.64,4078617.0
2025-04-22,13.9,15.42,13.895,15.09,6187179.0
2025-04-23,16.38,16.6,15.17,15.44,7446811.0
2025-04-24,15.7,16.85,15.7,16.56,5918027.0
2025-04-25,16.29,16.85,15.915,16.66,4597440.0
2025-04-28,16.9,17.49,16.3,16.96,3862940.0
2025-04-29,17.11,17.17,16.5569,16.89,3945025.0
2025-04-30,16.38,16.59,15.635,16.57,3454618.0
2025-05-01,17.28,17.64,16.75,17.11,4774678.0
2025-05-02,17.585,18.03,17.35,17.46,6250433.0
2025-05-05,17.0,17.395,16.57,17.11,3243301.0
2025-05-06,16.94,18.24,16.6,17.67,11247941.0
2025-05-07,17.44,17.51,16.38,16.61,7814449.0
2025-05-08,17.1,17.25,16.19,16.93,5707681.0
2025-05-09,17.18,17.62,16.52,17.45,7728490.0
2025-05-12,18.45,18.64,17.64,17.79,10077455.0
2025-05-13,18.645,22.5,18.51,21.64,25050767.0
2025-05-14,22.375,23.3587,21.6,22.94,14844337.0
2025-05-15,22.3,24.2,22.28,24.0,11551696.0
2025-05-16,24.4,25.12,23.5,24.17,11695122.0
2025-05-19,22.49,24.56,22.49,24.52,7185598.0
2025-05-20,24.75,24.75,22.75,23.48,7344693.0
