date,open,high,low,close,volume
2026-06-12,150.0,176.52,149.34,160.95,522131790.0
2026-06-15,171.74,193.0,168.35,192.5,256226632.0
2026-06-16,200.51,225.64,195.13,201.8,322149250.0
2026-06-17,209.84,213.7999,187.01,191.82,201719498.0
2026-06-18,188.39,190.0,172.11,185.0,272126781.0
2026-06-22,176.042,176.75,154.0,154.6,169183799.0
2026-06-23,151.06,165.5,147.11,156.11,155848109.0
2026-06-24,154.1954,159.86,150.72,154.54,76101541.0
2026-06-25,156.625,160.65,150.0,153.0,62212435.0
2026-06-26,150.62,158.4,148.51,153.23,126932861.0
2026-06-29,157.355,166.17,151.7356,164.19,81443101.0
2026-06-30,163.38,172.4,161.64,170.86,82047546.0
2026-07-01,171.565,171.74,155.0,157.54,109317597.0
2026-07-02,159.725,162.16,155.88,162.0,61257120.0
2026-07-06,165.95,167.895,155.04,160.42,188831328.0
2026-07-07,158.92,159.2999,148.86,149.47,83779737.0
2026-07-08,152.55,152.93,145.2,148.3,60949410.0
2026-07-09,150.445,153.5,147.59,152.16,46468592.0
2026-07-10,150.125,150.57,145.07,145.3,46825995.0
2026-07-13,144.7,144.92,136.78,139.14,71456511.0
2026-07-14,140.95,143.33,135.52,136.08,46694833.0
2026-07-15,137.505,139.34,132.1501,135.27,58040919.0
2026-07-16,135.01,137.76,130.74,131.11,58725579.0
2026-07-17,127.43,130.3299,122.12,123.99,83706220.0
2026-07-20,125.285,125.7,119.68,119.85,57337250.0
2026-07-21,122.105,129.88,120.36,123.54,79718078.0
2026-07-22,123.29,124.77,115.19,115.26,92731796.0
2026-07-23,115.205,118.55,110.85,118.24,75246453.0
2026-07-24,116.005,117.0,111.4,115.07,56786082.0
2026-07-27,113.5,114.85,108.66,113.5,64540679.0
2026-07-28,109.32,118.13,107.01,116.41,81714250.0
2026-07-29,114.395,117.59,110.35,112.55,53995189.0
2026-07-30,115.14,118.93,111.3501,112.2,56007950.0
2026-07-31,113.096,113.635,107.5701,108.37,58835713.0
2026-08-03,106.4,114.92,104.83,114.53,70524025.0
2026-08-04,117.33,126.71,115.72,125.33,144130084.0
2026-08-05,112.37,117.5,106.66,108.27,208488385.0
2026-08-06,107.085,115.75,105.11,114.92,255176620.0
2026-08-07,114.965,133.48,114.53,133.11,242130745.0
2026-08-10,134.95,139.26,130.17,138.74,169934327.0
2026-08-11,138.655,139.98,130.5,133.29,108900589.0
2026-08-12,135.045,149.6,134.01,146.15,167236422.0
2026-08-13,143.75,145.05,139.76,141.29,120282152.0
2026-08-14,142.9,144.02,135.5,140.0,96727761.0
2026-08-17,139.975,149.8,139.58,146.23,116675369.0
2026-08-18,140.725,146.46,139.4101,143.34,84190976.0
2026-08-19,144.96,145.01,136.72,139.65,76612316.0
2026-08-20,137.285,137.88,130.39,134.0,119813167.0
2026-08-21,134.315,137.35,131.22,136.97,78808308.0
2026-08-24,134.355,138.33,133.1,135.0,60188375.0
2026-08-25,136.935,139.75,136.1,137.95,53075008.0
2026-08-26,137.0,140.18,135.1,139.63,61380487.0
2026-08-27,139.99,142.06,138.6,140.87,55268829.0
2026-08-28,139.825,143.29,137.9,141.5,55111222.0
2026-08-31,140.075,144.135,139.88,143.69,63145017.0
2026-09-01,141.87,145.23,141.167,142.23,53808127.0
2026-09-02,142.65,143.1,138.17,140.68,5044158.0
