date,open,high,low,close,volume
2025-01-27,197.04,207.0,187.665,192.31,68667472.0
2025-01-28,195.65,202.84,192.46,202.4,31738835.0
2025-01-29,204.49,206.45,199.75,202.33,15199493.0
2025-01-30,206.57,209.62,205.4161,208.15,13538952.0
2025-01-31,209.93,215.0,208.2,209.32,15781905.0
2025-02-03,199.63,204.99,197.98,199.8,17719766.0
2025-02-04,204.07,205.75,202.08,204.05,12692908.0
2025-02-05,206.0,210.48,203.83,208.57,10997769.0
2025-02-06,210.055,211.18,207.0,210.5,8491436.0
2025-02-07,213.01,213.18,205.72,206.12,11616199.0
2025-02-10,208.0,209.98,206.53,207.95,9296479.0
2025-02-11,205.13,209.84,201.0,208.74,9224508.0
2025-02-12,204.9,207.0691,203.01,206.38,7373675.0
2025-02-13,201.88,202.3,199.23,201.83,15580928.0
2025-02-14,199.98,206.25,197.4605,203.9,23220332.0
2025-02-18,204.755,205.85,200.52,202.74,14988136.0
2025-02-19,202.01,202.6,200.02,200.95,13163071.0
2025-02-20,200.28,200.34,197.61,200.1,10639333.0
2025-02-21,201.33,202.69,196.01,198.24,13757337.0
2025-02-24,196.88,198.79,191.46,191.65,15114277.0
2025-02-25,190.65,193.53,187.468,189.37,20580951.0
2025-02-26,191.09,196.08,191.09,194.62,14112250.0
2025-02-27,194.69,194.77,181.08,181.09,24219211.0
2025-02-28,179.31,182.16,175.52,180.53,27929427.0
2025-03-03,181.15,181.57,171.07,172.97,37402998.0
2025-03-04,175.06,183.6,174.18,180.0,29395234.0
2025-03-05,183.0,184.74,180.72,184.28,17333996.0
2025-03-06,178.575,181.55,175.79,175.85,17864290.0
2025-03-07,175.79,178.47,171.02,177.1,21012687.0
2025-03-10,172.47,174.89,167.91,170.65,18265099.0
2025-03-11,170.65,173.3346,168.1,170.97,16561137.0
2025-03-12,175.6,178.13,174.76,177.17,14737610.0
2025-03-13,173.89,173.89,170.5,171.59,14381570.0
2025-03-14,172.65,174.37,171.9309,174.09,11449411.0
2025-03-17,173.95,177.16,173.82,176.24,9678112.0
2025-03-18,174.38,174.5755,170.4324,173.13,9986033.0
2025-03-19,173.0,175.73,171.74,173.76,10678482.0
2025-03-20,174.85,178.67,174.55,177.47,12209690.0
2025-03-21,174.91,177.2,173.7918,176.73,9993226.0
2025-03-24,179.99,182.925,179.675,181.16,11440018.0
2025-03-25,182.47,182.51,179.8,180.9,8718753.0
2025-03-26,179.23,179.55,171.4662,173.5,14644601.0
2025-03-27,171.39,171.61,167.55,168.24,17559075.0
2025-03-28,168.04,168.63,164.06,165.25,16331998.0
2025-03-31,160.36,166.13,159.73,166.0,19408272.0
2025-04-01,166.39,168.87,165.06,168.64,9180009.0
2025-04-02,166.85,171.75,166.345,170.39,10072689.0
2025-04-03,160.06,161.8,157.21,157.38,28370483.0
2025-04-04,150.89,151.31,144.84,146.8,36085144.0
2025-04-07,134.51,153.75,134.25,146.17,46388328.0
2025-04-08,151.98,152.61,138.98,141.37,30479663.0
2025-04-09,140.2,160.62,137.9,158.75,45612516.0
2025-04-10,155.5,156.0,146.91,151.13,24503452.0
2025-04-11,156.0,158.01,153.25,157.08,19632205.0
2025-04-14,158.3,158.59,154.03,155.84,17509449.0
2025-04-15,156.485,158.25,156.05,157.33,14306631.0
2025-04-16,150.6,153.54,148.49,151.67,23806098.0
2025-04-17,156.05,157.5,151.4469,151.74,27239900.0
2025-04-21,149.99,150.28,145.84,147.86,15170478.0
2025-04-22,148.0,152.5996,147.4401,151.4,12668584.0
2025-04-23,159.37,160.38,156.0,157.81,17667929.0
2025-04-24,157.78,164.55,157.39,164.18,18761145.0
2025-04-25,163.93,165.91,161.16,165.1,14654790.0
2025-04-28,165.0,165.32,160.5,163.4,11415622.0
2025-04-29,164.38,166.0,163.5,164.48,9830097.0
2025-04-30,163.54,166.92,161.75,166.69,10073011.0
2025-05-01,172.8,174.78,170.95,172.72,22670639.0
2025-05-02,179.795,180.65,177.14,179.28,21691162.0
2025-05-05,179.0,180.08,176.25,176.4,14618920.0
2025-05-06,172.6,174.74,170.5884,172.28,14565567.0
2025-05-07,174.1,175.98,171.37,174.54,9703998.0
2025-05-08,175.34,177.45,173.66,175.22,10342957.0
2025-05-09,179.8,180.46,176.47,176.52,11582754.0
2025-05-12,187.28,189.17,184.61,186.98,22064866.0
2025-05-13,187.72,194.28,187.72,193.99,19996036.0
2025-05-14,195.28,196.22,193.23,194.76,12358953.0
2025-05-15,193.1,194.49,191.63,194.22,10241765.0
2025-05-16,194.53,195.08,192.57,194.22,9146662.0
2025-05-19,189.0,193.5,188.8107,193.5,10144438.0
2025-05-20,191.8,193.73,190.81,193.45,7054072.0
2025-05-21,193.1,195.27,190.53,191.76,7375650.0
2025-05-22,191.34,196.83,191.335,196.19,11824973.0
2025-05-23,192.02,192.8,190.03,191.98,9403136.0
2025-05-27,194.095,198.31,193.7,197.68,12228212.0
2025-05-28,196.09,198.065,195.48,196.14,17787617.0
2025-05-29,199.46,199.8,196.08,197.15,14624606.0
2025-05-30,195.77,195.91,190.56,193.32,11998300.0
2025-06-02,193.035,195.16,192.195,194.84,7447367.0
2025-06-03,194.345,198.1685,193.64,197.61,9548320.0
2025-06-04,201.38,204.03,200.38,202.4,13531121.0
2025-06-05,204.88,205.76,202.28,203.34,12242180.0
2025-06-06,203.58,206.29,203.23,205.18,8531979.0
2025-06-09,206.4,209.27,205.87,207.0,11472258.0
2025-06-10,211.605,213.23,209.96,212.46,14513988.0
2025-06-11,215.0,217.43,212.95,214.1,13326440.0
2025-06-12,212.92,215.88,211.91,215.43,9796134.0
2025-06-13,210.11,213.26,209.4,211.1,10152533.0
2025-06-16,213.0,217.6,212.73,215.68,10932869.0
2025-06-17,213.89,215.94,213.5,213.9,8389651.0
2025-06-18,214.695,215.1651,212.89,213.5,6931992.0
2025-06-20,215.2,215.4978,208.15,209.51,16992048.0
2025-06-23,206.63,210.59,206.2015,210.32,7535531.0
2025-06-24,214.39,220.365,213.88,220.09,14814705.0
2025-06-25,220.8,223.5,220.8,222.74,9168374.0
2025-06-26,224.98,225.22,222.6956,224.01,7982208.0
2025-06-27,224.3,228.88,224.03,228.57,13132971.0
2025-06-30,227.44,228.15,224.8,226.49,9279803.0
2025-07-01,227.425,228.6,221.18,224.68,9990210.0
2025-07-02,224.48,233.82,224.0,233.6,12012459.0
2025-07-03,233.87,237.58,233.27,234.8,7779584.0
2025-07-07,231.63,232.55,227.44,229.17,13817520.0
2025-07-08,229.78,230.33,227.535,227.86,8854432.0
2025-07-09,230.45,233.27,230.24,231.84,9475340.0
2025-07-10,232.78,233.05,227.77,229.76,13124703.0
2025-07-11,231.0,232.27,229.4001,230.4,8817763.0
2025-07-14,229.33,229.85,226.31,228.67,10673518.0
2025-07-15,234.46,237.71,233.85,236.95,14270133.0
2025-07-16,236.395,238.31,234.15,237.56,15092753.0
2025-07-17,245.79,248.28,241.39,245.6,27395684.0
2025-07-18,245.31,245.97,238.69,240.4,16252018.0
2025-07-21,240.12,242.34,238.71,238.85,11971805.0
2025-07-22,237.83,238.0,231.76,234.6,11919542.0
2025-07-23,238.52,240.5,236.38,240.33,9885441.0
2025-07-24,240.205,241.95,238.03,241.6,9081946.0
2025-07-25,241.32,246.24,240.94,245.6,11593366.0
2025-07-28,243.0,243.95,241.05,242.75,11892202.0
2025-07-29,241.495,243.97,239.82,241.33,9411525.0
2025-07-30,242.12,244.57,241.22,242.91,6823770.0
2025-07-31,245.98,247.41,239.8,241.62,13490682.0
2025-08-01,235.62,237.19,231.8401,235.21,13549793.0
2025-08-04,237.91,239.0,236.39,239.0,6450728.0
2025-08-05,238.325,238.63,230.17,232.47,11868867.0
2025-08-06,231.03,232.2,228.82,231.37,9457183.0
2025-08-07,244.47,247.84,240.8,242.62,17691005.0
2025-08-08,243.16,243.16,238.97,241.83,10552538.0
2025-08-11,242.04,245.35,241.54,242.09,8272863.0
2025-08-12,243.72,244.77,241.7,244.29,7301986.0
2025-08-13,246.43,246.43,239.94,241.44,7971850.0
2025-08-14,237.97,241.38,236.82,241.0,11040536.0
2025-08-15,240.33,240.8,237.26,238.88,8155486.0
2025-08-18,239.99,242.8575,239.99,241.41,6919779.0
2025-08-19,240.02,240.165,232.58,232.7,14594688.0
2025-08-20,228.14,229.03,223.7,228.6,17165201.0
2025-08-21,228.15,230.33,226.26,227.33,7449144.0
2025-08-22,228.0,234.4493,226.17,232.99,10299467.0
2025-08-25,234.3,237.275,232.2501,235.59,7654954.0
2025-08-26,236.37,238.83,235.73,238.72,9793068.0
2025-08-27,236.87,239.4,235.4356,239.29,9516362.0
2025-08-28,236.295,240.66,236.0,238.27,8466216.0
2025-08-29,235.84,235.95,230.58,230.87,15526018.0
2025-09-02,226.15,229.34,225.6301,228.39,13974904.0
2025-09-03,231.515,232.445,228.6,231.39,7198492.0
2025-09-04,231.35,235.31,230.3,235.21,6241940.0
2025-09-05,240.24,244.55,237.9,243.41,14056566.0
2025-09-08,241.99,247.88,241.62,247.19,12986596.0
2025-09-09,246.93,254.7299,246.93,250.92,13443419.0
2025-09-10,258.87,264.58,257.75,260.44,18822431.0
2025-09-11,260.345,261.64,258.2301,258.91,10004967.0
2025-09-12,260.85,260.95,258.38,259.33,8496585.0
2025-09-15,260.0,262.8,258.75,261.38,8147738.0
2025-09-16,265.92,266.4383,260.61,262.06,10381854.0
2025-09-17,264.34,264.81,259.73,262.79,10422030.0
2025-09-18,258.0,270.54,257.98,268.64,16917295.0
