period,available_date,hs_code,series,export_value,export_weight,export_unit_price_weight
2017-01,2017-02-01,8542321010,DRAM,1359624403.0,83534.0,16276.299506787655
2017-01,2017-02-01,8542311000,Logic comparator,1231294136.0,424181.0,2902.7564553810757
2017-01,2017-02-01,8542323000,MCP / HBM proxy,1169549686.0,33167.0,35262.450206530586
2017-01,2017-02-01,8542321030,NAND Flash,294981354.0,35502.0,8308.86581037688
2017-02,2017-03-01,8542321010,DRAM,1405222422.0,79497.0,17676.420770595116
2017-02,2017-03-01,8542311000,Logic comparator,1150523267.0,407061.0,2826.414878851081
2017-02,2017-03-01,8542323000,MCP / HBM proxy,1251249752.0,35200.0,35546.86795454546
2017-02,2017-03-01,8542321030,NAND Flash,296979709.0,50031.0,5935.913913373708
2017-03,2017-04-01,8542321010,DRAM,1575893194.0,78018.0,20199.097567228077
2017-03,2017-04-01,8542311000,Logic comparator,1228440487.0,456676.0,2689.9606876647777
2017-03,2017-04-01,8542323000,MCP / HBM proxy,1618260349.0,47695.0,33929.35001572492
2017-03,2017-04-01,8542321030,NAND Flash,336017503.0,43064.0,7802.747143785993
2017-04,2017-05-01,8542321010,DRAM,1704652258.0,77437.0,22013.40777664424
2017-04,2017-05-01,8542311000,Logic comparator,1152924112.0,416209.0,2770.0605032567773
2017-04,2017-05-01,8542323000,MCP / HBM proxy,1339809786.0,39462.0,33951.89767371142
2017-04,2017-05-01,8542321030,NAND Flash,327607667.0,37855.0,8654.277294941223
2017-05,2017-06-01,8542321010,DRAM,1835724342.0,77103.0,23808.727831601882
2017-05,2017-06-01,8542311000,Logic comparator,1334197513.0,451785.0,2953.1691246942682
2017-05,2017-06-01,8542323000,MCP / HBM proxy,1438104697.0,34263.0,41972.52712838922
2017-05,2017-06-01,8542321030,NAND Flash,304846900.0,41697.0,7311.003189677915
2017-06,2017-07-01,8542321010,DRAM,1863251002.0,79926.0,23312.201311212873
2017-06,2017-07-01,8542311000,Logic comparator,1352319220.0,452040.0,2991.591938766481
2017-06,2017-07-01,8542323000,MCP / HBM proxy,1963435530.0,48558.0,40434.85172371185
2017-06,2017-07-01,8542321030,NAND Flash,305980139.0,71192.0,4297.956778851556
2017-07,2017-08-01,8542321010,DRAM,1967693742.0,75030.0,26225.426389444223
2017-07,2017-08-01,8542311000,Logic comparator,1565330148.0,492749.0,3176.7292231947704
2017-07,2017-08-01,8542323000,MCP / HBM proxy,1675398179.0,40159.0,41719.12096914764
2017-07,2017-08-01,8542321030,NAND Flash,369718172.0,46669.0,7922.13615033534
2017-08,2017-09-01,8542321010,DRAM,2011639596.0,79382.0,25341.256153788014
2017-08,2017-09-01,8542311000,Logic comparator,1578477118.0,522776.0,3019.4138942874197
2017-08,2017-09-01,8542323000,MCP / HBM proxy,1952748731.0,47576.0,41044.82787539936
2017-08,2017-09-01,8542321030,NAND Flash,506332547.0,49990.0,10128.676675335068
2017-09,2017-10-01,8542321010,DRAM,2140059404.0,79288.0,26990.962112803954
2017-09,2017-10-01,8542311000,Logic comparator,1605762888.0,531585.0,3020.7076723383843
2017-09,2017-10-01,8542323000,MCP / HBM proxy,2478231083.0,38147.0,64965.29433507222
2017-09,2017-10-01,8542321030,NAND Flash,571712823.0,53851.0,10616.568364561475
2017-10,2017-11-01,8542321010,DRAM,2483178757.0,81552.0,30449.023408377478
2017-10,2017-11-01,8542311000,Logic comparator,1531199323.0,500422.0,3059.8161611599808
2017-10,2017-11-01,8542323000,MCP / HBM proxy,2693986906.0,43427.0,62034.837911898125
2017-10,2017-11-01,8542321030,NAND Flash,527225233.0,47117.0,11189.70293100155
2017-11,2017-12-01,8542321010,DRAM,2361183591.0,80415.0,29362.47703786607
2017-11,2017-12-01,8542311000,Logic comparator,1651842026.0,528107.0,3127.8548210873932
2017-11,2017-12-01,8542323000,MCP / HBM proxy,2710320247.0,46106.0,58784.545330325775
2017-11,2017-12-01,8542321030,NAND Flash,496035703.0,45672.0,10860.827268348223
2017-12,2018-01-01,8542321010,DRAM,2584284843.0,78426.0,32951.888952643254
2017-12,2018-01-01,8542311000,Logic comparator,1474078369.0,489398.0,3012.0236882864256
2017-12,2018-01-01,8542323000,MCP / HBM proxy,2713645297.0,37573.0,72223.27993505975
2017-12,2018-01-01,8542321030,NAND Flash,494807355.0,44245.0,11183.350774098768
2018-01,2018-02-01,8542321010,DRAM,2491371371.0,71896.0,34652.43366807611
2018-01,2018-02-01,8542311000,Logic comparator,1576683580.0,528818.0,2981.5240404070964
